TR - 25/36,Capitán Misson - SP,Aliado,Real SP,Héroe
ACR-016-225,Carlos VII,Aliado,Mega Real,Héroe
24,Castor,Aliado,Real,Héroe
AYD-113-200,Catón el Joven,Aliado,Cortesano,Héroe
VE - 6/180,Caupolicán,Aliado,Real,Héroe
BA - 95/260,Caza Recompensas,Aliado,Cortesano,Héroe
BA - 94/260 II,Cazador de Demonios,Aliado,Cortesano,Héroe
BA - 94/260,Cazador de Demonios,Aliado,Cortesano,Héroe
GJ - 162/236,Cazador de Serpientes,Aliado,Vasallo,Héroe
VE - 64/180,Cazador Yagan,Aliado,Cortesano,Héroe
VE - 7/180,Cazador Yanomami,Aliado,Real,Héroe
HGR-001-100,Cenicienta,Aliado,Ultra Real,Héroe
AI-133-227,Centurión,Aliado,Vasallo,Héroe
TAS-046-200,Cénuke,Aliado,Real,Héroe
CRPB-64-72,César Augusto,Aliado,Reprint Imperio,
CA-029-128,César Augusto,Aliado,Milenaria,Héroe
LD2-47-63,César Augusto,Aliado,Real,Héroe
239,César Augusto,Aliado,Real,Héroe
GJ - 91/236,Chamán,Aliado,Cortesano,Héroe
PI - 109/240,Charlotte de Berry,Aliado,Cortesano,Héroe
TAS-152-200,Chonos,Aliado,Vasallo,Héroe
KA - 109/140,Chüai,Aliado,Vasallo,Héroe
KEL-106-200,Cian,Aliado,Cortesano,Héroe
TR - 142/190 V,Clara Immerwahr,Aliado,Vasallo,Naturaleza
ESC-207-300,Claudio,Aliado,Cortesano,Héroe
AI-079-227,Claudio,Aliado,Cortesano,Héroe
IV - 190/240,Cleomenes III,Aliado,Vasallo,Héroe
BA - 91/260,Comandante Bizantino,Aliado,Cortesano,Héroe
TR - 65/190 C,Combatientes del Infierno,Aliado,Cortesano,Divinidad
AI-077-227,Cómodo,Aliado,Cortesano,Héroe
KEL-020-200,Conall Cernach,Aliado,Mega Real,Héroe
HGR-027-100,Confiable John,Aliado,Real,Héroe
CAM-064-236,Constantine,Aliado,Real,Héroe
CRPB-66-72,Constantino,Aliado,Reprint Imperio,
CO - 51/128,Constantino,Aliado,Cortesano,Héroe
245,Constantino,Aliado,Cortesano,Héroe
AYD-157-200,Constanza,Aliado,Vasallo,Héroe
GJ - 163/236,Contador de Estrellas,Aliado,Vasallo,Héroe
PI - 182/240,Cord Widderich,Aliado,Vasallo,Héroe
HE - 43/175,Cormac mac Airt,Aliado,Real,Héroe
AI-135-227,Cornelia,Aliado,Vasallo,Héroe
CR - 26/140,Cornelius Essex,Aliado,Real,Héroe
TR - 29/190 R,Coronel Koudasheva,Aliado,Real,Naturaleza
IV - 191/240,Creso,Aliado,Vasallo,Héroe
EXP-049-146,Cristóbal Colón,Aliado,Real,Héroe
DGO-001-200,Crowley,Aliado,Ultra Real,Héroe / Sacerdote
KEL-046-200,Cú Roí,Aliado,Real,Héroe
SPK-04-71,Cuasimodo,Aliado,Real,Héroe
KEL-003-200,Cúchulainn,Aliado,Ultra Real,Héroe
KEL-194-200,Cúchulainn,Aliado,Legendaria,Héroe
CAM-065-236,Culhwch,Aliado,Real,Héroe
AYD-158-200,Cunizza,Aliado,Vasallo,Héroe
VE - 125/180,Curandera Quichua,Aliado,Vasallo,Héroe
CAM-124-236,Cynan,Aliado,Cortesano,Héroe
19,Dafne,Aliado,Real,Héroe
AG-149-236,Dama Escudera,Aliado,Vasallo,Héroe
AYD-005-200,Dante Alighieri (Coleccionista),Aliado,Ultra Real,Héroe
CR - 113/140,David Herriot,Aliado,Vasallo,Héroe
KEL-047-200,Deirdre,Aliado,Real,Héroe
IV - 39/240,Dienekes,Aliado,Real,Héroe
AI-130-227,Dioclesiano,Aliado,Vasallo,Héroe
OL-109-240,Diomedes,Aliado,Cortesano,Héroe
KEM-184-231,Doble Halcón,Aliado,Vasallo,Héroe
TEM-112-128,Dobrynya Nikitich,Aliado,Vasallo,Héroe
LGO-064-230,Doctor Illuminatus,Aliado,Real,Héroe
TAS-020-200,Domo,Aliado,Mega Real,Héroe
SPK-11-71,Dorian Grey,Aliado,Cortesano,Héroe
HGR-089-100,Dos Hermanos,Aliado,Real,Héroe
OL-172-240,Eco,Aliado,Vasallo,Héroe
CTP-01-30,Edgar Allan Poe,Aliado,Ultra Real,Héroe
OL-110-240,Edipo,Aliado,Cortesano,Héroe
26,Edipo,Aliado,Real,Héroe
TR - 109/190 C,Edith Cavell,Aliado,Cortesano,Civilización
PI - 41/240,Edward England,Aliado,Real,Héroe
PI - 37/240,"Edward Teach ""Barbanegra""",Aliado,Real,Héroe
AG-011-236,Einherjar,Aliado,Milenaria,Héroe
AG-029-236,Einherjar,Aliado,Real,Héroe
VK - 95/220,Einherjar,Aliado,Cortesano,Héroe
HE - 45/175,Eiríkr Hákonarson,Aliado,Real,Héroe
AYD-060-200,El Ciego,Aliado,Real,Héroe
TR - 108/190 C,El Último Boyscout,Aliado,Cortesano,Civilización
HE - 96/175,Electra,Aliado,Cortesano,Héroe
CR - 70/140,Elizabeth Shirland,Aliado,Cortesano,Héroe
TAS-048-200,El-lal,Aliado,Real,Héroe
TR - 26/190 R,Enver Pachá,Aliado,Real,Naturaleza
97,"Epicúreo, el Sabio",Aliado,Cortesano,Héroe
VK - 92/220,Erik el Rojo,Aliado,Cortesano,Héroe
AI-040-227,Escipión el Africano,Aliado,Real,Héroe
CRPB-62-72,Espartaco,Aliado,Reprint Imperio,
IM - 44/238,Espartaco,Aliado,Real,Héroe
CO - 8/128,Espartaco,Aliado,Real,Héroe
LD2-06-63,Espartaco,Aliado,Premium Foil,Héroe
238,Espartaco,Aliado,Real,Héroe
IV - 192/240,Esquilo,Aliado,Vasallo,Héroe
KEL-105-200,Ethniu,Aliado,Cortesano,Héroe
IV - 38/240,Euribiades,Aliado,Real,Héroe
GJ - 166/236,Explorador,Aliado,Vasallo,Héroe
GJ - 15/236,Eztli,Aliado,Real,Héroe
149,Falange,Aliado,Vasallo,Héroe
PI - 187/240,Fanny Campbell,Aliado,Vasallo,héroe
156,Felipo,Aliado,Vasallo,Héroe
KEL-050-200,Ferdiad,Aliado,Real,Héroe
ESC-091-300,Fereydun I,Aliado,Milenaria,Héroe
CR-121,Fereydun I,Aliado,Héroe,Reprint
CMC-003,Fergus,Aliado,Héroe,Nitrox
